customer_id,age,gender,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,tech_support,streaming_tv,streaming_movies,paperless_billing,churn
49,50,Male,6,54.71787725437826,264.6227420992306,Month-to-month,Credit card,Fiber optic,No,No,No,Yes,Yes,0
50,18,Male,19,40.374147323809936,841.2104942860337,Two year,Electronic check,DSL,Yes,No,Yes,No,No,0
51,49,Male,11,55.290107071591216,579.3761515452518,Month-to-month,Bank transfer,Fiber optic,No,No,No,Yes,Yes,1
52,39,Male,26,75.65493973746212,1982.075883051405,Month-to-month,Bank transfer,DSL,Yes,Yes,Yes,Yes,No,0
53,34,Male,3,75.01549065849649,240.80992781958383,Month-to-month,Credit card,DSL,No,No,No,No,No,1
54,54,Male,20,56.73746514811824,1154.2448122035835,One year,Electronic check,No,No,No,No,No,Yes,1
55,60,Male,4,63.24139733827626,250.5526783076077,Two year,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,0
56,58,Female,7,80.28125416143355,613.0288481710662,Month-to-month,Mailed check,DSL,Yes,No,No,No,No,0
57,32,Male,5,20.0,20.43448661741924,Month-to-month,Credit card,DSL,Yes,No,No,No,Yes,1
58,40,Male,4,68.18042629011563,412.66349782585087,Two year,Credit card,Fiber optic,No,No,Yes,No,Yes,0
59,49,Male,41,62.20431166672698,2526.7230399989526,One year,Credit card,No,No,No,Yes,Yes,No,0
60,59,Male,8,87.62189113975532,569.8202153281744,Two year,Credit card,Fiber optic,No,No,Yes,No,Yes,1
61,37,Male,62,34.10641011348569,2133.4047627352898,Month-to-month,Electronic check,No,Yes,Yes,Yes,No,Yes,0
62,42,Male,72,40.7926223405766,2851.9507602767667,Month-to-month,Electronic check,DSL,Yes,No,No,No,Yes,0
63,28,Male,20,39.77428291952667,862.0191118414209,Month-to-month,Electronic check,Fiber optic,No,No,No,No,Yes,1
64,27,Male,3,62.38506858320119,408.1157633538413,One year,Mailed check,Fiber optic,No,Yes,Yes,No,Yes,1
65,57,Female,11,52.08695764804629,494.2993249727241,Month-to-month,Credit card,Fiber optic,Yes,Yes,Yes,No,No,1
66,65,Male,38,98.29388988332539,3768.4050488887633,Month-to-month,Credit card,DSL,No,No,Yes,No,No,0
67,43,Male,10,52.372244929237226,348.17189042190955,Month-to-month,Electronic check,Fiber optic,No,No,No,No,Yes,1
68,60,Male,2,64.7503008594943,174.89112466312332,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,1
69,50,Male,19,77.00934819794941,1374.60623578107,Two year,Credit card,Fiber optic,No,No,No,Yes,Yes,0
70,35,Female,44,64.74030928810677,2786.0901468332495,Month-to-month,Mailed check,Fiber optic,No,No,Yes,No,Yes,1
71,50,Female,38,75.28777764336832,2750.806901464013,One year,Electronic check,Fiber optic,No,No,No,No,Yes,0
72,68,Female,4,60.73165442525419,316.1417403064903,Two year,Mailed check,Fiber optic,No,Yes,Yes,No,Yes,0
73,44,Female,26,30.0378476650524,881.7144750386886,Month-to-month,Mailed check,DSL,No,No,No,No,No,0
74,68,Female,5,48.29716969290833,243.82436993039238,One year,Bank transfer,Fiber optic,Yes,Yes,No,No,Yes,0
75,18,Female,5,26.987136531307492,48.493012122965496,Two year,Mailed check,Fiber optic,No,No,No,Yes,Yes,1
76,57,Female,49,79.48279354261561,4053.609187198551,Two year,Electronic check,No,No,No,No,Yes,Yes,0
77,46,Female,6,84.96430242312212,434.7448017632671,Month-to-month,Credit card,DSL,No,No,No,No,Yes,0
78,40,Female,7,89.29259016759949,408.84490118045255,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,No,No,1
79,46,Female,1,80.17910241474839,126.01800341045522,Month-to-month,Mailed check,DSL,No,Yes,No,Yes,Yes,1
80,18,Female,49,94.24780486933565,4507.664971233296,One year,Credit card,DSL,No,No,No,No,No,1
81,41,Female,37,41.32207942149278,1627.7778179451504,One year,Electronic check,Fiber optic,No,No,No,Yes,Yes,0
82,50,Female,23,49.96281157243666,1111.0308964987014,One year,Electronic check,Fiber optic,No,No,No,Yes,No,0
83,67,Female,33,73.5043774335741,2486.0157793623653,Month-to-month,Credit card,DSL,No,No,Yes,Yes,No,0
84,37,Female,3,68.52377578405961,345.72136200739465,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,No,Yes,1
85,32,Female,14,72.45571871691834,893.4941755747845,One year,Credit card,No,No,Yes,No,Yes,Yes,0
86,37,Male,10,66.11306804046492,604.5369673154087,Month-to-month,Electronic check,No,No,Yes,Yes,Yes,No,1
87,58,Female,2,71.83945824252277,136.1118092193392,One year,Electronic check,DSL,No,No,No,No,Yes,0
88,49,Male,15,87.5294289091903,1466.696565541289,Month-to-month,Bank transfer,Fiber optic,No,Yes,Yes,No,No,0
89,37,Female,60,92.19339176337729,5465.765234008592,Month-to-month,Electronic check,Fiber optic,No,Yes,No,Yes,Yes,1
90,52,Female,1,52.07701599157197,52.07701599157197,Month-to-month,Credit card,DSL,No,No,No,No,Yes,1
91,46,Male,8,63.619239299177735,556.7679719490027,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,0
92,59,Female,5,81.4409211089639,349.4817329737624,Month-to-month,Credit card,Fiber optic,No,Yes,No,No,No,1
93,34,Male,6,66.14841941579813,412.1431047845505,Month-to-month,Credit card,DSL,No,No,Yes,No,Yes,1
94,40,Male,57,71.0264264629476,3893.3525662912007,Month-to-month,Electronic check,No,Yes,Yes,Yes,No,Yes,1
95,39,Male,15,34.669815101103424,741.480220772211,Month-to-month,Credit card,No,Yes,No,Yes,Yes,Yes,0
96,23,Female,15,89.02502357494068,1200.6044305931698,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,No,Yes,1
97,49,Female,34,48.04171722126634,1601.2431151240348,One year,Bank transfer,Fiber optic,No,Yes,No,No,Yes,0
98,48,Female,4,50.439293019186174,198.50906849253522,Month-to-month,Credit card,DSL,No,No,Yes,Yes,Yes,0
99,45,Male,16,39.23651836169305,819.0531072227684,One year,Bank transfer,Fiber optic,Yes,No,No,Yes,No,0
100,41,Male,13,72.74198586298978,813.1612381255932,One year,Mailed check,DSL,Yes,No,Yes,No,No,1
101,23,Female,21,71.35289745380233,1696.781260077724,One year,Bank transfer,No,No,No,No,No,Yes,0
102,38,Female,72,58.08918567394829,4258.13905063448,Two year,Electronic check,DSL,No,No,Yes,Yes,Yes,1
103,39,Female,35,71.1339353522724,2531.3972697718586,Month-to-month,Electronic check,DSL,Yes,Yes,Yes,No,Yes,0
104,32,Female,12,39.37180984230591,373.99834940587533,One year,Bank transfer,Fiber optic,No,No,Yes,Yes,No,0
105,42,Female,42,86.64561518828036,3696.2299621115826,Two year,Electronic check,DSL,No,No,No,Yes,Yes,0
106,51,Male,4,78.23647167009524,240.59722443840099,Two year,Electronic check,Fiber optic,No,No,No,No,Yes,1
107,73,Male,1,73.98856091755579,200.65468623739702,Month-to-month,Electronic check,Fiber optic,No,No,No,Yes,Yes,1
108,47,Male,5,36.78213544815283,86.80447432999082,Month-to-month,Bank transfer,No,No,Yes,Yes,No,No,0
109,48,Female,9,62.79329478625296,553.8238036306683,Month-to-month,Mailed check,Fiber optic,Yes,No,No,Yes,No,0
110,43,Male,17,62.46268346296266,1006.3383100690479,One year,Credit card,DSL,Yes,No,No,No,Yes,0
111,18,Male,22,71.87324116289487,1482.4590093409877,One year,Mailed check,DSL,No,No,Yes,No,Yes,1
112,44,Male,57,102.3617979314532,5908.754463783624,Month-to-month,Mailed check,Fiber optic,No,Yes,Yes,No,Yes,0
113,45,Male,17,58.869220641731204,1054.3226256503938,One year,Mailed check,Fiber optic,No,No,Yes,Yes,Yes,0
114,80,Male,16,98.35586331874254,1694.5948329899802,One year,Bank transfer,Fiber optic,No,No,No,No,Yes,0
115,42,Female,1,20.941961892391397,20.941961892391397,Month-to-month,Mailed check,DSL,Yes,Yes,No,Yes,No,1
116,49,Male,1,37.53541751636102,143.95248775046542,Two year,Credit card,DSL,No,Yes,No,No,Yes,1
117,44,Female,19,58.097169097077135,1354.3911033801548,One year,Credit card,DSL,No,Yes,Yes,No,No,1
118,27,Female,13,25.848221181376704,290.86276644020245,Month-to-month,Credit card,DSL,No,No,Yes,Yes,Yes,1
119,62,Female,43,37.714025113458455,1811.2179410896106,One year,Credit card,DSL,No,No,No,No,No,0
120,56,Female,4,59.55971196911166,211.92272067046397,Month-to-month,Mailed check,Fiber optic,No,No,Yes,Yes,Yes,0
121,56,Female,1,71.37240876803881,71.37240876803881,One year,Bank transfer,DSL,No,Yes,No,Yes,Yes,1
122,31,Male,14,70.00765279599058,949.5438949031886,Two year,Bank transfer,Fiber optic,No,No,No,Yes,No,0
123,66,Male,6,91.49528607890495,653.7921132409574,Two year,Bank transfer,Fiber optic,No,No,Yes,No,Yes,1
124,23,Female,1,75.22646742700594,75.22646742700594,Month-to-month,Credit card,DSL,Yes,No,No,No,Yes,0
125,53,Female,30,65.92306122238818,1917.6579707709968,Month-to-month,Bank transfer,Fiber optic,No,Yes,No,Yes,No,1
126,77,Female,2,77.85563159592705,215.06520642117317,Month-to-month,Credit card,Fiber optic,No,Yes,No,No,Yes,1
127,30,Male,22,56.77258489816239,1249.3028794334298,One year,Mailed check,Fiber optic,No,No,No,Yes,Yes,0
128,36,Female,7,94.97914854240807,723.3163350455305,Month-to-month,Credit card,No,No,No,Yes,Yes,No,1
129,46,Male,4,45.60187869401526,206.19046885189465,One year,Bank transfer,DSL,No,No,No,No,No,0
130,37,Female,11,43.22793448117739,523.4698112481086,Month-to-month,Bank transfer,No,No,Yes,No,No,No,0
131,21,Male,38,62.89591465796963,2346.8146384218917,Month-to-month,Mailed check,Fiber optic,No,No,No,Yes,Yes,1
132,46,Female,11,39.70667762075541,459.9465480313487,Month-to-month,Credit card,Fiber optic,Yes,Yes,No,Yes,No,1
133,29,Male,33,73.5748580848434,2335.2330162302387,Two year,Credit card,No,No,No,No,No,No,0
134,52,Female,3,73.32434314852969,348.8163916959279,One year,Electronic check,No,No,No,Yes,Yes,No,0
135,31,Male,35,44.933354313848966,1509.2399293029825,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,Yes,No,1
136,68,Male,6,50.43695679904961,415.5064895492366,Month-to-month,Mailed check,Fiber optic,No,No,Yes,No,Yes,1
137,33,Male,27,51.76431857285198,1374.2759053687168,One year,Credit card,Fiber optic,No,No,Yes,No,Yes,0
138,40,Male,20,85.7373945342204,1734.9477917601403,Month-to-month,Mailed check,Fiber optic,No,No,Yes,No,No,1
139,57,Male,63,71.24180869682182,4438.737492810705,One year,Electronic check,DSL,No,No,Yes,No,No,0
140,26,Male,11,114.5717649530377,1158.689871366612,Two year,Mailed check,DSL,Yes,No,No,Yes,Yes,1
141,48,Male,1,99.79944126036438,99.79944126036438,One year,Bank transfer,No,No,Yes,No,No,No,1
142,64,Female,1,90.71639299378532,90.71639299378532,One year,Electronic check,DSL,No,No,No,Yes,No,0
143,20,Female,42,33.849517119502366,1389.2888336975072,One year,Bank transfer,DSL,No,Yes,No,No,No,1
144,47,Female,17,79.86383498457676,1378.873112620693,Two year,Credit card,Fiber optic,Yes,Yes,Yes,No,No,1
145,48,Female,35,64.13386013183806,2345.7230359426585,Two year,Credit card,DSL,No,No,No,No,No,0
146,56,Female,6,45.95606353058664,231.16063520383494,One year,Electronic check,DSL,No,No,No,No,No,0
147,26,Male,10,74.14959329636292,653.2998565369119,Month-to-month,Credit card,Fiber optic,No,No,Yes,No,No,1
148,25,Male,1,88.50465393083432,88.50465393083432,Month-to-month,Bank transfer,Fiber optic,No,No,No,Yes,Yes,1
149,52,Male,72,90.42104421785096,6558.32154547568,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,No,Yes,1
150,49,Male,26,59.984021776043555,1697.904017710067,One year,Electronic check,Fiber optic,No,No,Yes,No,Yes,0
151,48,Male,64,72.99242909595111,4798.1484889365,One year,Electronic check,Fiber optic,No,No,Yes,No,Yes,0
152,50,Female,7,60.45123290357037,494.15190513971635,Month-to-month,Credit card,Fiber optic,No,No,No,Yes,Yes,1
153,34,Female,22,59.82412854834101,1379.985159790262,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,Yes,No,1
154,48,Female,27,65.8923196598658,1948.8550087873107,Month-to-month,Electronic check,Fiber optic,No,Yes,No,Yes,No,0
155,49,Female,9,55.45653297768641,532.3169429408587,Two year,Credit card,No,No,No,No,Yes,Yes,0
156,34,Male,45,70.09232726705434,3218.7676946198626,One year,Bank transfer,Fiber optic,No,No,Yes,No,No,1
157,72,Male,70,46.996579030656086,3257.682145960726,One year,Credit card,DSL,No,Yes,No,Yes,Yes,0
158,52,Male,51,77.15823020399725,3798.865403318384,Month-to-month,Bank transfer,DSL,No,No,No,Yes,Yes,1
159,27,Female,32,20.0,571.6151099500423,One year,Electronic check,Fiber optic,No,No,Yes,No,No,1
160,54,Male,7,51.27172749716003,357.98618862665467,Month-to-month,Credit card,DSL,Yes,No,No,No,Yes,0
161,30,Female,7,73.22865546518324,518.6791255064129,One year,Electronic check,Fiber optic,Yes,No,Yes,No,No,1
162,56,Male,72,72.9930956271243,5448.131470638489,Month-to-month,Bank transfer,No,No,No,Yes,No,Yes,0
163,62,Male,1,47.196122601389895,55.32383936049676,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,Yes,Yes,0
164,32,Female,30,55.67326751858408,1788.082369960087,Month-to-month,Electronic check,DSL,No,No,No,Yes,No,0
165,59,Male,29,77.12309497892628,2193.0620302312304,Month-to-month,Credit card,Fiber optic,Yes,No,No,Yes,Yes,1
166,51,Male,23,66.19642815713001,1491.350259037467,Two year,Mailed check,DSL,Yes,No,No,No,No,0
167,57,Female,72,92.70139398273871,6541.599603034842,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,Yes,Yes,0
168,73,Male,8,93.35532009500193,672.6097594723583,Month-to-month,Credit card,Fiber optic,No,Yes,No,No,Yes,1
169,41,Female,9,86.43045725470503,830.5722544287206,One year,Bank transfer,DSL,No,Yes,No,Yes,No,0
170,33,Male,1,38.20230899300953,38.95832703242286,Two year,Bank transfer,No,No,No,No,No,No,0
171,31,Male,14,60.60721097776977,942.7948156785001,Month-to-month,Bank transfer,DSL,No,No,No,No,Yes,1
172,32,Male,7,44.96201945350738,332.8595310090567,One year,Credit card,No,No,No,No,No,Yes,0
173,43,Male,10,43.80658258229652,402.82045265919106,Two year,Electronic check,DSL,No,No,No,No,No,0
174,50,Male,43,83.32428987112873,3797.774150837231,Month-to-month,Electronic check,DSL,No,Yes,No,No,Yes,1
175,49,Male,65,61.09998569151335,3962.108713077063,Month-to-month,Mailed check,DSL,No,Yes,No,No,Yes,1
176,57,Male,4,92.12816985619597,484.81277639531424,Month-to-month,Electronic check,DSL,No,No,No,No,No,1
177,45,Male,11,40.56731630412343,406.11955869089,Two year,Bank transfer,Fiber optic,No,Yes,Yes,No,Yes,1
178,66,Female,63,112.841810201979,7179.993990663034,Month-to-month,Mailed check,Fiber optic,No,No,No,No,Yes,0
179,41,Female,1,45.14030456367907,137.94187047884776,Month-to-month,Electronic check,Fiber optic,No,No,No,Yes,Yes,1
180,80,Male,2,84.10189756970766,189.05299219697338,One year,Electronic check,DSL,No,No,No,No,No,1
181,54,Male,4,80.61861873334011,87.02618266370024,One year,Bank transfer,Fiber optic,Yes,No,No,Yes,No,1
182,32,Female,21,60.65950513404051,1275.674853900462,Month-to-month,Credit card,Fiber optic,No,No,Yes,Yes,No,0
183,28,Male,3,96.80049651175756,413.44749431127025,One year,Mailed check,Fiber optic,Yes,No,Yes,No,Yes,1
184,52,Male,72,38.48205175817962,2823.455809891706,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,Yes,Yes,0
185,41,Female,14,96.22624385909295,1391.751301550226,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,0
186,55,Male,16,78.1716195513782,1078.5202194262993,One year,Bank transfer,DSL,No,No,No,Yes,Yes,1
187,52,Male,6,51.74174020132177,238.40493414042476,Two year,Electronic check,Fiber optic,Yes,Yes,Yes,No,Yes,1
188,43,Female,15,45.8074417263897,728.2473890109893,Month-to-month,Mailed check,Fiber optic,Yes,No,No,No,Yes,0
189,32,Male,26,102.60845593370348,2708.85818195498,Two year,Bank transfer,Fiber optic,Yes,No,No,No,No,0
190,22,Male,33,48.61324951961986,1725.7039121607456,One year,Credit card,DSL,No,Yes,Yes,No,No,0
191,38,Female,33,51.60040672091988,1688.3267462757465,Month-to-month,Mailed check,DSL,No,Yes,Yes,No,Yes,0
192,57,Male,20,72.1293347428365,1483.1691035241115,One year,Credit card,DSL,No,Yes,No,Yes,No,1
193,48,Female,56,35.37581870728862,1982.6832718012922,Month-to-month,Bank transfer,DSL,No,No,Yes,Yes,No,1
194,26,Male,40,91.33219902661502,3554.593687414445,Two year,Credit card,DSL,No,No,Yes,No,Yes,1
195,47,Male,33,56.209481143453864,1629.3337446245027,Two year,Mailed check,No,No,Yes,No,Yes,Yes,1
196,50,Female,1,63.70157174448417,106.80254095749183,Month-to-month,Mailed check,Fiber optic,Yes,No,No,Yes,No,0
197,31,Female,1,66.31034090427626,83.7050617455574,Month-to-month,Credit card,Fiber optic,Yes,No,No,No,Yes,0
198,47,Male,5,47.7597056335147,176.9810239575566,Month-to-month,Electronic check,DSL,No,No,Yes,No,Yes,1
199,45,Female,26,62.18138684749377,1454.7987523832514,Month-to-month,Electronic check,No,No,No,Yes,Yes,Yes,1
200,27,Female,12,65.24554615435748,845.9205052931635,Month-to-month,Electronic check,DSL,No,Yes,No,No,Yes,1
201,50,Male,12,77.17655286031399,899.5266269042127,Month-to-month,Credit card,Fiber optic,No,No,No,No,No,1
202,53,Male,51,89.89764045651232,4640.467135518943,One year,Electronic check,No,No,No,No,No,No,0
203,61,Male,54,99.74182903325469,5572.463620836928,Month-to-month,Credit card,Fiber optic,No,No,Yes,No,Yes,1
204,60,Female,57,80.77793459136214,4390.1991836756715,Two year,Mailed check,No,Yes,No,Yes,Yes,No,0
205,24,Female,9,47.006744737632424,353.1006217684554,Two year,Electronic check,Fiber optic,No,No,Yes,No,No,0
206,30,Female,28,46.09496024692186,1269.7213255826207,Month-to-month,Mailed check,DSL,No,Yes,No,No,No,0
207,52,Female,7,50.57037662946191,499.47525382089844,Two year,Electronic check,DSL,Yes,No,Yes,No,Yes,0
208,52,Male,5,57.14720423342083,122.09571924645564,Month-to-month,Bank transfer,DSL,No,No,No,No,Yes,1
209,52,Female,4,90.61357685852207,556.0404100021487,Month-to-month,Bank transfer,DSL,No,Yes,Yes,No,Yes,1
210,80,Male,10,20.0,213.58559015662905,One year,Mailed check,Fiber optic,No,Yes,No,No,Yes,1
211,53,Female,13,46.43507211980932,594.0558713841353,Month-to-month,Electronic check,DSL,No,No,Yes,Yes,Yes,1
212,62,Male,42,81.44344504603701,3400.8187156116637,One year,Bank transfer,No,No,No,No,No,Yes,0
213,59,Male,3,54.406134715562736,119.59210092868534,Two year,Credit card,DSL,No,Yes,Yes,No,Yes,0
214,54,Male,31,84.74723785416133,2731.9760494059165,Two year,Bank transfer,Fiber optic,No,No,No,No,Yes,1
215,40,Female,18,55.78172561471767,897.2189856566742,One year,Credit card,No,Yes,No,No,No,No,0
216,56,Male,8,108.61325302758785,903.4474423850882,One year,Electronic check,DSL,No,No,Yes,Yes,Yes,0
217,33,Male,16,47.78598372089848,726.1575729636781,Month-to-month,Credit card,Fiber optic,No,Yes,No,Yes,No,1
218,41,Female,8,84.334044657195,598.4590124061501,Month-to-month,Mailed check,Fiber optic,Yes,No,No,No,No,1
219,37,Male,21,106.8275311159548,2501.9756710034408,One year,Electronic check,DSL,No,Yes,No,Yes,Yes,0
220,46,Female,13,95.4510383154842,1282.7685715766406,Month-to-month,Credit card,Fiber optic,No,No,No,Yes,Yes,1
221,79,Female,4,42.56062501150342,231.56905451212805,Month-to-month,Credit card,DSL,No,No,No,No,No,1
222,18,Male,2,42.90981986627823,199.59731779942268,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,No,Yes,1
223,55,Male,18,49.99945753333123,757.8552410681075,One year,Electronic check,Fiber optic,No,No,Yes,No,No,0
224,20,Female,55,76.66309408195178,4391.699365419551,Month-to-month,Electronic check,Fiber optic,No,Yes,No,No,No,0
225,37,Male,10,70.8553304004207,457.6575861546994,One year,Mailed check,Fiber optic,No,No,No,No,Yes,1
226,61,Female,31,50.25574111947295,1481.0513336998094,Month-to-month,Credit card,DSL,No,Yes,Yes,No,Yes,1
227,45,Female,25,73.17420436649017,1783.4519418443645,Month-to-month,Electronic check,Fiber optic,No,No,No,Yes,Yes,0
228,28,Female,64,34.22648221487829,2248.667198249261,Month-to-month,Credit card,No,No,Yes,Yes,Yes,No,1
229,34,Male,41,81.57710653791096,3366.5331946684983,Month-to-month,Electronic check,No,Yes,No,No,No,No,1
230,55,Female,20,76.71897573625567,1517.698040655274,Two year,Credit card,Fiber optic,No,No,No,No,No,0
231,34,Male,25,73.79207224243125,1843.602071598009,Month-to-month,Credit card,Fiber optic,No,No,No,Yes,Yes,1
232,48,Male,54,58.78986418354815,3076.850363559343,Month-to-month,Mailed check,No,No,Yes,Yes,Yes,Yes,0
233,45,Male,12,98.81591733103471,1036.0677685239991,One year,Mailed check,DSL,No,No,No,No,Yes,1
234,35,Male,9,31.903948892052156,359.78670226207544,Month-to-month,Credit card,Fiber optic,No,Yes,No,No,No,1
235,77,Female,1,50.28059214291313,119.65120339653166,Month-to-month,Bank transfer,DSL,No,No,No,No,Yes,1
236,54,Male,42,60.6309984251325,2704.9513713712713,Month-to-month,Bank transfer,No,No,No,Yes,No,Yes,0
237,18,Female,38,32.14295564943306,1142.4306049969355,Two year,Bank transfer,Fiber optic,No,No,No,No,No,1
238,47,Female,2,101.45104623919289,272.18361350847806,One year,Electronic check,Fiber optic,No,No,No,No,Yes,1
239,35,Male,20,50.90735324213598,989.7763920062464,Month-to-month,Credit card,DSL,No,Yes,No,Yes,Yes,0
240,57,Female,14,80.04430239028562,1239.667731983347,Month-to-month,Electronic check,Fiber optic,No,No,No,No,Yes,0
241,33,Female,3,65.57972006413858,298.9354378602299,Month-to-month,Credit card,Fiber optic,No,Yes,No,No,Yes,1
